"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00019",10813.82,347.91,2523.21,3,157,134,-8.4,"3","Zero_Lag","AUDUSD",8.4107,118.896167976506,35668.8503929518,12857.217591877,36.9555850417551,0.451266132045644,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"2","A00087",11152.66,344.71,1484.65,3,151,132,-4.9,"5","Sine_WMA","AUDUSD",4.94883333333333,202.067827434075,60620.3482302226,22535.9377631091,65.3765129039168,0.438049374836819,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"3","A00092",11166.3,344.71,1484.65,3,150,130,-4.9,"5","Triangular_MA","AUDUSD",4.94883333333333,202.067827434075,60620.3482302226,22563.4998147712,65.456470119147,0.435148385599489,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"4","A00086",9783.95,344.71,1457.82,3,127,112,-4.9,"5","SMA","AUDUSD",4.8594,205.786722640655,61736.0167921966,20134.0700498004,58.4087205181178,0.368425633140901,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"5","A00044",8780.35,354.57,1920.43,3,129,111,-6.4,"4","Jurik","AUDUSD",6.40143333333333,156.215014345745,46864.5043037236,13716.2250121067,38.6841103649679,0.363820966240799,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"6","A00080",9750.15,344.71,1457.82,3,126,111,-4.9,"5","Geometric_Mean","AUDUSD",4.8594,205.786722640655,61736.0167921966,20064.5141375478,58.2069395652805,0.365524643903571,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
"7","A00252",2958.25,316.08,1190.23,2,49,45,-4,"4.5","Hull_HMA","EURJPY",3.96743333333333,252.052124379322,75615.6373137965,7456.33196945128,23.5900150893802,0.155024044545685,"No","Yes","No","Keltner.Mean.Type","Keltner.Multiplicator"
"8","A00271",2299.16,316.08,955.4,2,37,34,-3.2,"5","Hull_HMA","EURJPY",3.18466666666667,314.004605400879,94201.3816202638,7219.46828553485,22.8406361855696,0.117058972412048,"No","Yes","No","Keltner.Mean.Type","Keltner.Multiplicator"
"9","A00281",1492.64,316.08,1143.94,2,24,21,-3.8,"5","TEMA","EURJPY",3.81313333333333,262.251516687938,78675.4550063815,3914.47103869084,12.3844312790776,0.0759301442672741,"No","Yes","No","Keltner.Mean.Type","Keltner.Multiplicator"
"10","A00300",7018.13,340.63,1734.19,3,112,93,-5.8,"3","TEMA","EURUSD",5.78063333333333,172.991425391681,51897.4276175044,12140.7631228412,35.6420841465555,0.328802512990635,"No","No","Yes","Keltner.Mean.Type","Keltner.Multiplicator"
