"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00010",19516.75,363.33,2598.54,3,431,406,-8.7,"5","100","AUDUSD",8.6618,115.449444688171,34634.8334064513,22531.9794961786,62.0151914132569,1.18624941513225,"No","No","Yes","BLAISlow.length","BLAISlow.Timeframe"
"2","A00004",922.3,351.66,252.5,1,39,39,-0.8,"1","80","AUDUSD",0.841666666666667,1188.11881188119,356435.643564356,10958.0198019802,31.1608366091685,0.110902576352158,"No","Yes","Yes","BLAISlow.length","BLAISlow.Timeframe"
"3","A00005",1048.36,335.75,1011.28,2,39,38,-3.4,"1","100","AUDUSD",3.37093333333333,296.653745747963,88996.1237243889,3109.99920892334,9.26284202210974,0.116157855547282,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
"4","A00003",703.29,335.3,252.5,1,26,26,-0.8,"1","60","AUDUSD",0.841666666666667,1188.11881188119,356435.643564356,8355.92079207921,24.9207300688315,0.077542499254399,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
"5","A00002",432.94,304.37,586.56,1,17,17,-2,"1","40","AUDUSD",1.9552,511.456628477905,153436.988543372,2214.30032733224,7.27502818060993,0.0558530735617834,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
"6","A00030",1043.91,333.02,1834.67,2,39,37,-6.1,"1","100","EURGBP",6.11556666666667,163.517144772629,49055.1434317888,1706.97182599596,5.12573366763545,0.11711008347847,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
"7","A00029",834.86,348.45,321.77,2,36,35,-1.1,"1","80","EURGBP",1.07256666666667,932.342977903471,279702.893371041,7783.75858532492,22.3382367206914,0.103314679294016,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
"8","A00028",512.91,307.5,95.66,1,23,23,-0.3,"1","60","EURGBP",0.318866666666667,3136.10704578716,940832.113736149,16085.4066485469,52.3102655237299,0.0747967479674797,"No","Yes","Yes","BLAISlow.length","BLAISlow.Timeframe"
"9","A00027",272.93,239.43,69.04,1,14,14,-0.2,"1","40","EURGBP",0.230133333333333,4345.30706836616,1303592.12050985,11859.6465816918,49.5328345724921,0.0584722048197803,"No","Yes","Yes","BLAISlow.length","BLAISlow.Timeframe"
"10","A00026",237.02,352.98,321.38,1,13,13,-1.1,"1","20","EURGBP",1.07126666666667,933.474391685855,280042.317505756,2212.52100317381,6.26812001579073,0.036829282112301,"No","Yes","No","BLAISlow.length","BLAISlow.Timeframe"
