"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00001",99030.25,360.73,38109.01,5,618,492,-127,"15","1","AUDUSD",127.030033333333,7.87215411788446,2361.64623536534,7795.81390332627,21.6112158770445,1.71319269259557,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"2","A00007",105742.03,360.76,38109.01,5,611,484,-127,"30","1.5","AUDUSD",127.030033333333,7.87215411788446,2361.64623536534,8324.17556897962,23.0739981399812,1.69364674575895,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"3","A00002",96077.8,363.33,38109.01,5,616,480,-127,"15","1.5","AUDUSD",127.030033333333,7.87215411788446,2361.64623536534,7563.39248907279,20.816867555866,1.69542839842567,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"4","A00018",100632.74,363.34,38109.01,5,599,472,-127,"60","2","AUDUSD",127.030033333333,7.87215411788446,2361.64623536534,7921.96438584996,21.8031716459789,1.64859360378709,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"5","A00013",123462.31,363.34,38109.01,5,595,461,-127,"45","2","AUDUSD",127.030033333333,7.87215411788446,2361.64623536534,9719.14332070028,26.7494449295433,1.63758463147465,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"6","A00028",41987.68,357.48,24202.76,5,310,230,-80.7,"15","2","EURGBP",80.6758666666667,12.3952805382527,3718.5841614758,5204.49072750381,14.5588305010177,0.867181380776547,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"7","A00026",40645.6,357.49,25233.71,5,301,216,-84.1,"15","1","EURGBP",84.1123666666667,11.8888581980216,3566.65745940649,4832.29774773507,13.5172948830319,0.841981593890738,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"8","A00032",42996.34,357.49,25233.71,5,299,215,-84.1,"30","1.5","EURGBP",84.1123666666667,11.8888581980216,3566.65745940649,5111.77389293925,14.2990682059337,0.836387031805085,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"9","A00048",47541.77,357.5,24202.76,5,287,211,-80.7,"75","2","EURGBP",80.6758666666667,12.3952805382527,3718.5841614758,5892.93576435084,16.4837364037786,0.802797202797203,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"10","A00038",38734.61,357.49,24202.76,5,291,208,-80.7,"45","2","EURGBP",80.6758666666667,12.3952805382527,3718.5841614758,4801.26357489807,13.4304835796751,0.814008783462474,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"11","A00077",84144.91,361,37970.46,5,426,308,-126.6,"15","1.5","EURUSD",126.5682,7.90087873573299,2370.2636207199,6648.18730139166,18.4160313057941,1.18005540166205,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"12","A00076",79649.51,361,37970.46,5,425,301,-126.6,"15","1","EURUSD",126.5682,7.90087873573299,2370.2636207199,6293.01119870552,17.4321639853339,1.17728531855956,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"13","A00087",82209.11,361,37970.46,5,424,297,-126.6,"45","1.5","EURUSD",126.5682,7.90087873573299,2370.2636207199,6495.24209082534,17.9923603623971,1.17451523545706,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"14","A00081",76022.57,361.01,37970.46,5,417,296,-126.6,"30","1","EURUSD",126.5682,7.90087873573299,2370.2636207199,6006.45106748773,16.6379077241288,1.15509265671311,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"15","A00082",91214.84,361,53635.66,6,415,293,-178.8,"30","1.5","EURUSD",178.785533333333,5.59329371541247,1677.98811462374,5101.91391324354,14.1327255214502,1.14958448753463,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"16","A00102",118794.09,360.51,51778.75,5,517,387,-172.6,"15","1.5","GBPJPY",172.595833333333,5.79388262559448,1738.16478767834,6882.79014074307,19.0918147644811,1.43407949848825,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"17","A00101",111596.96,360.51,51778.75,5,518,385,-172.6,"15","1","GBPJPY",172.595833333333,5.79388262559448,1738.16478767834,6465.79687613162,17.9351387648931,1.4368533466478,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"18","A00107",111355.91,360.51,51778.75,5,513,385,-172.6,"30","1.5","GBPJPY",172.595833333333,5.79388262559448,1738.16478767834,6451.83072206262,17.8963987741328,1.42298410585005,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"19","A00111",102950.94,363.5,51778.75,5,504,383,-172.6,"45","1","GBPJPY",172.595833333333,5.79388262559448,1738.16478767834,5964.85662554619,16.4095092862344,1.38651994497937,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"20","A00106",98434.39,363.5,51778.75,5,500,378,-172.6,"30","1","GBPJPY",172.595833333333,5.79388262559448,1738.16478767834,5703.17301981991,15.6896094080328,1.37551581843191,"No","BB.Exit.number.of.SDs","BB.Exit.length"
"21","A00127",88419.91,363.39,40381.87,5,539,415,-134.6,"15","1.5","GBPUSD",134.606233333333,7.42907646426478,2228.72293927943,6568.7827235341,18.0763992502108,1.48325490519827,"No","BB.Exit.number.of.SDs","BB.Exit.length"
