"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","YName","XName"
"1","A00078",88803.2,847.76,84405.4,5,502,395,-281.4,"T3","T3","AUDUSD",281.351333333333,3.55427496345021,1066.28248903506,3156.30990434261,3.72311727887918,0.592148721336227,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"2","A00098",82093.57,847.76,84405.4,5,501,395,-281.4,"Wilders","T3","AUDUSD",281.351333333333,3.55427496345021,1066.28248903506,2917.83120511247,3.44181278323166,0.590969142210059,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"3","A00100",68461.54,876.4,21129.31,4,490,388,-70.4,"Wilders","Wilders","AUDUSD",70.4310333333333,14.1982866454229,4259.48599362686,9720.36569107084,11.0912433718289,0.559105431309904,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"4","A00018",86489.45,847.76,84405.4,5,485,382,-281.4,"EMA","T3","AUDUSD",281.351333333333,3.55427496345021,1066.28248903506,3074.07286737578,3.62611218667522,0.572095876191375,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"5","A00038",86489.45,847.76,84405.4,5,485,382,-281.4,"Holt","T3","AUDUSD",281.351333333333,3.55427496345021,1066.28248903506,3074.07286737578,3.62611218667522,0.572095876191375,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"6","A00178",14141.14,825.65,8670.51,3,160,130,-28.9,"T3","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4892.84021355145,5.92604640410761,0.193786713498456,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"7","A00198",13192.98,825.65,8670.51,3,155,130,-28.9,"Wilders","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4564.77646643623,5.52870643303607,0.187730878701629,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"8","A00118",13067.68,825.65,8670.51,3,152,126,-28.9,"EMA","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4521.42261527869,5.47619768095281,0.184097377823533,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"9","A00138",13067.68,825.65,8670.51,3,152,126,-28.9,"Holt","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4521.42261527869,5.47619768095281,0.184097377823533,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"10","A00128",13046.26,825.65,8670.51,3,151,125,-28.9,"Geometric_Mean","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4514.01128653332,5.46722132445142,0.182886210864168,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"11","A00168",13046.26,825.65,8670.51,3,151,125,-28.9,"SMA","T3","EURGBP",28.9017,34.6000408280482,10380.0122484145,4514.01128653332,5.46722132445142,0.182886210864168,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"12","A00273",42905.18,871.59,28420.51,4,256,191,-94.7,"T3","Geometric_Mean","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,4528.9665808249,5.19621218786919,0.293716082102824,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"13","A00277",42905.18,871.59,28420.51,4,256,191,-94.7,"T3","SMA","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,4528.9665808249,5.19621218786919,0.293716082102824,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"14","A00297",40827.07,863.33,28420.51,4,247,189,-94.7,"Wilders","SMA","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,4309.60633711359,4.99184128561915,0.286101490739346,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"15","A00293",41622.89,863.33,28420.51,4,247,188,-94.7,"Wilders","Geometric_Mean","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,4393.61116320573,5.08914454867285,0.286101490739346,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"16","A00217",36887.78,861.13,28420.51,4,244,184,-94.7,"EMA","SMA","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,3893.78445355133,4.52171501811727,0.283348623320521,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"17","A00237",36887.78,861.13,28420.51,4,244,184,-94.7,"Holt","SMA","EURJPY",94.7350333333333,10.5557570923252,3166.72712769757,3893.78445355133,4.52171501811727,0.283348623320521,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"18","A00388",47612.91,833.54,62839.05,5,254,190,-209.5,"TEMA","T3","EURUSD",209.4635,4.77410145443001,1432.230436329,2273.08862880645,2.72703005111506,0.304724428341771,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"19","A00348",47391.33,833.83,62839.05,5,250,189,-209.5,"Hull_HMA","T3","EURUSD",209.4635,4.77410145443001,1432.230436329,2262.51017480372,2.71339502632878,0.299821306501325,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"20","A00343",23446.27,858.13,17020.19,4,186,138,-56.7,"Hull_HMA","Geometric_Mean","EURUSD",56.7339666666667,17.626125207768,5287.83756233039,4132.66890675133,4.81590074551797,0.216750375817184,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"21","A00347",23446.27,858.13,17020.19,4,186,138,-56.7,"Hull_HMA","SMA","EURUSD",56.7339666666667,17.626125207768,5287.83756233039,4132.66890675133,4.81590074551797,0.216750375817184,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"22","A00383",22612.02,858.13,17020.19,4,185,137,-56.7,"TEMA","Geometric_Mean","EURUSD",56.7339666666667,17.626125207768,5287.83756233039,3985.62295720553,4.64454448301019,0.215585051216016,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"23","A00387",22612.02,858.13,17020.19,4,185,137,-56.7,"TEMA","SMA","EURUSD",56.7339666666667,17.626125207768,5287.83756233039,3985.62295720553,4.64454448301019,0.215585051216016,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"24","A00408",78690.52,849.76,59647.57,5,363,268,-198.8,"DEMA","T3","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3957.77330073966,4.65751894739651,0.427179438900395,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"25","A00448",78552.44,849.76,59647.57,5,360,266,-198.8,"Hull_HMA","T3","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3950.82850818566,4.64934629564308,0.423649030314442,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"26","A00473",60902.83,866.64,59647.57,5,324,242,-198.8,"T3","Geometric_Mean","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3063.13383763999,3.53449395093694,0.373857657158682,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"27","A00477",60902.83,866.64,59647.57,5,324,242,-198.8,"T3","SMA","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3063.13383763999,3.53449395093694,0.373857657158682,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"28","A00493",65388.91,866.64,59647.57,5,313,233,-198.8,"Wilders","Geometric_Mean","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3288.76314659591,3.79484347202519,0.361164958921813,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"29","A00497",65713.58,866.64,59647.57,5,313,233,-198.8,"Wilders","SMA","GBPJPY",198.825233333333,5.02954269553647,1508.86280866094,3305.09256286551,3.81368568594285,0.361164958921813,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"30","A00572",35441.68,859.84,59002.36,4,207,168,-196.7,"T3","EMA","GBPUSD",196.674533333333,5.08454238101662,1525.36271430499,1802.04724014429,2.0957936827134,0.240742463714179,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
"31","A00574",34667.2,860.4,59002.36,4,199,162,-196.7,"T3","Holt","GBPUSD",196.674533333333,5.08454238101662,1525.36271430499,1762.66847631179,2.04866164145955,0.231287773128777,"No","PPO.Entry.type.of.slow.moving.average","PPO.Entry.type.of.fast.moving.average"
