"","ID","Profit","nDays","MaxDDMoney","nLostEntries","nEntries","nWinTrades","PercDD","X","Y","Pair","DDAccount","DD3Perc","MoneyEntryAdjusted","ProfitAt3Perc","ProfitStan3PercDay","PercentDaysActive","FailByAmount","FailByTimeActive","MeetTarget","YName","XName"
"1","A00049",3904.58,430.92,1028.01,10,1092,420,-3.4,"50","70","AUDUSD",3.4267,291.825955000438,87547.7865001313,11394.5778737561,26.4424437801821,2.53411306042885,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"2","A00048",3912.79,430.75,1028.01,10,1030,398,-3.4,"46","70","AUDUSD",3.4267,291.825955000438,87547.7865001313,11418.5367846616,26.5085009510427,2.39117817759721,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"3","A00042",3509.3,420.37,1028.01,10,996,383,-3.4,"50","60","AUDUSD",3.4267,291.825955000438,87547.7865001313,10241.0482388304,24.3619864377343,2.36934129457383,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"4","A00047",3639.1,420.37,1028.01,10,964,373,-3.4,"42","70","AUDUSD",3.4267,291.825955000438,87547.7865001313,10619.8383284209,25.2630737883791,2.29321787948712,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"5","A00041",3047.81,420.33,1028.01,10,941,359,-3.4,"46","60","AUDUSD",3.4267,291.825955000438,87547.7865001313,8894.30063909884,21.1602803490087,2.23871719839174,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"6","A00098",1552.53,427.57,764.77,9,362,140,-2.5,"50","70","EURGBP",2.54923333333333,392.27480157433,117682.440472299,6090.18397688194,14.2437120866336,0.846644993802184,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"7","A00097",1706.64,427.57,701.07,9,334,133,-2.3,"46","70","EURGBP",2.3369,427.917326372545,128375.197911763,7303.0082588044,17.0802634862231,0.781158640690413,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"8","A00091",1829.84,427.57,587.35,9,324,130,-2,"50","60","EURGBP",1.95783333333333,510.76870690389,153230.612071167,9346.25010641015,21.8589940978323,0.757770657436209,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"9","A00084",2411.76,427.57,319.75,8,280,121,-1.1,"50","50","EURGBP",1.06583333333333,938.232994526974,281469.898358092,22627.9280688038,52.9221602750515,0.654863531117712,"No","No","Yes","X__STOf.Length","X__STOf.Threshold"
"10","A00096",1750.41,427.57,441.15,8,298,121,-1.5,"42","70","EURGBP",1.4705,680.040802448147,204012.240734444,11903.5022101326,27.8398910356962,0.696961900975279,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"11","A00147",571.89,408.88,2796.96,11,755,261,-9.3,"50","70","EURJPY",9.3232,107.259310108117,32177.7930324352,613.405268577312,1.50020854181499,1.84650753277245,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"12","A00146",365.23,403.92,2748.71,14,715,246,-9.2,"46","70","EURJPY",9.16236666666667,109.142106660943,32742.6319982828,398.619716157761,0.986877887100815,1.77015250544662,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"13","A00140",435.52,403.92,2755.1,12,711,245,-9.2,"50","60","EURJPY",9.18366666666667,108.888969547385,32666.6908642155,474.233240172771,1.17407714441664,1.7602495543672,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"14","A00139",217.66,403.92,2798.98,11,673,230,-9.3,"46","60","EURJPY",9.32993333333333,107.181901978578,32154.5705935734,233.292127846573,0.577570132319699,1.6661715191127,"No","No","No","X__STOf.Length","X__STOf.Threshold"
"15","A00145",98.46,403.92,2839.12,11,672,229,-9.5,"42","70","EURJPY",9.46373333333333,105.666544563104,31699.9633689312,104.039279776832,0.257573974492058,1.66369578134284,"No","No","No","X__STOf.Length","X__STOf.Threshold"
